,codici-identificativi.isil,denominazioni.ufficiale,ente,indirizzo.coordinate,indirizzo.via-piazza,tipologia-amministrativa,tipologia-funzionale,accesso.portatori-handicap,accesso.riservato
11705,IT-PT0057,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA","Camera di commercio, industria, artigianato e agricoltura - CCIAA di Pistoia","[43.9307455, 10.9167391]",Corso S. Fedi 36,"Camere di commercio, industria, artigianato",Specializzata,,False
11706,IT-PT0058,Biblioteca della Fondazione Marino Marini,Fondazione Marino Marini,"[43.9307455, 10.9167391]",Corso Silvano Fedi 30,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11707,IT-PT0059,Biblioteca privata Antonio Venturi,,"[43.884537, 10.7747037]",,NON SPECIFICATA,NON SPECIFICATA,,
11708,IT-PT0060,Biblioteca del Monastero S. Maria di Ripa,Benedettine Monastero S. Maria di Ripa di Montecatini Val di Nievole,"[43.8984135, 10.7902108]",Via Porta di borgo 36,Enti ecclesiastici,NON SPECIFICATA,,
11709,IT-PT0061,Biblioteca Pistoria ,Istituto di ricerche storiche e archeologiche,"[43.9122905, 10.8887069]",Via Bargi 148,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Specializzata,,False
11710,IT-PT0062,Museo civico,,"[43.934075, 10.917797]","Piazza Duomo 1, presso Palazzo comunale",NON SPECIFICATA,NON SPECIFICATA,,
11711,IT-PT0063,Biblioteca Istituto Tecnico Commerciale e per Geometri Enrico Fermi,"Ministero dell'istruzione, dell'università e della ricerca","[43.9330374, 10.9003345]","Viale Adua, 77",Presidenza del consiglio dei ministri e ministeri,Scolastica,,
11712,IT-PT0064,Biblioteca San Giorgio,Comune di Pistoia,"[43.9283636056642, 10.9104205343629]","Via Sandro Pertini, snc",Comune,Pubblica,True,False
11713,IT-PT0065,Biblioteca comunale,,"[44.1053148, 11.0006296]","Piazza Sandro Pertini, 1",NON SPECIFICATA,NON SPECIFICATA,,
11714,IT-PT0066,Biblioteca del Centro Culturale Il Funaro,Centro Culturale Il Funaro,"[43.9377729, 10.9202345]","Via del Funaro, 16","Accademie, associazioni, fondazioni, istituti (pubblici)",Pubblica,,
11715,IT-PT0067,Biblioteca vescovile,Diocesi di Pescia,"[43.9008643, 10.6919858]","Piazza Duomo, 3",Enti ecclesiastici,Importante non specializzata,False,False
11716,IT-PT0068,Biblioteca diocesana,Diocesi di Pescia,"[43.8981481, 10.6914074]","Piazza Garzoni, 4",Enti ecclesiastici,Importante non specializzata,False,False
11717,IT-PT0069,Biblioteca comunale,Comune di Abetone,"[44.1446894, 10.6636579]","Via Brennero, 241",Comune,Pubblica,,False
11718,IT-PT0129,Biblioteca della Casa Museo Sigfrido Bartolini,Casa Museo Sigfrido Bartolini,[],"Via di Bigiano e castel dei bovani, 5",Privati - Famiglie,Importante non specializzata,,True
11719,IT-PT0130,Biblioteca della Fondazione Valore Lavoro della CGIl di Pistoia ,Fondazione Valore Lavoro CGIL Pistoia,[],Via Puccini 104 ,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,,True
11720,IT-PT0135,Biblioteca del Monastero di Santa Maria degli Angeli,Monastero di Santa Maria degli Angeli,"[43.93335, 10.9123099999999]","Vicolo S. Michele, 8",Enti ecclesiastici,Specializzata,True,False
11721,IT-PU0001,Biblioteca comunale Dante Alighieri,Comune di Acqualagna,"[43.6168058, 12.6706899]",Piazza Mattei 5,Comune,Pubblica,,False
11722,IT-PU0003,Biblioteca comunale,Comune di Apecchio,"[43.5596177, 12.4193769]",Via I. Pazzaglia,Comune,Pubblica,,False
11723,IT-PU0007,Biblioteca diocesana,,"[43.564003, 12.644587]",,NON SPECIFICATA,NON SPECIFICATA,,
11724,IT-PU0009,Biblioteca comunale. Sezione antica,Comune di Cagli,"[43.6143144, 12.6608769]",,Comune,Importante non specializzata,,True
11725,IT-PU0010,Polo culturale di Eccellenza,Comune di Cagli,"[43.5456509, 12.647706]",Via Alessandri 39,Comune,Pubblica,,False
11726,IT-PU0011,Biblioteca comunale Ludovisiana,Comune di Cantiano,"[43.4722935, 12.6290331]",Piazza Luceoli 3,Comune,Pubblica,,False
11727,IT-PU0014,Biblioteca comunale Afra Ciscato,Comune di Cartoceto,"[43.767914, 12.8827679]",Piazza Garibaldi,Comune,Pubblica,,False
11728,IT-PU0015,Biblioteca comunale Afra Ciscato. Sezione distaccata di Lucrezia,Comune di Cartoceto,"[43.7746374, 12.9383556]",Via della Repubblica,Comune,Pubblica,,False
11729,IT-PU0016,Biblioteca comunale,,"[44.0607791, 12.5662567]",Piazza S. Nicola 2,NON SPECIFICATA,NON SPECIFICATA,,
11730,IT-PU0017,Biblioteca comunale,Comune di Colbordolo,"[43.8348134, 12.7461192]","Via Nazionale, 138",Comune,Pubblica,,False
11731,IT-PU0018,Biblioteca comunale Federiciana,Comune di Fano,"[43.8441104, 13.0209788]",Via Castracane 1,Comune,Importante non specializzata,,False
11732,IT-PU0019,Biblioteca dell'Eremo di Monte Giove,Benedettini camaldolesi OSB. Eremo di Monte Giove,"[0.0, 0.0]",Via Rosciano 90,Enti ecclesiastici,Specializzata,,False
11733,IT-PU0020,Biblioteca del Seminario vescovile S. Carlo,,"[43.836, 12.9998151]",Via Fanella,NON SPECIFICATA,NON SPECIFICATA,,
11734,IT-PU0022,Biblioteca del Laboratorio di biologia marina e pesca del Dipartimento di biologia evoluzionistica e sperimentale dell'Università degli studi di Bologna,Università degli studi di Bologna. Dipartimento di biologia evoluzionistica e sperimentale. Sede di Fano. Laboratorio di biologia marina e pesca,"[43.8476254, 13.022796]","Viale Adriatico, 1/N",Universita' statali,Istituto di insegnamento superiore,,False
11735,IT-PU0023,Biblioteca del Convento dei cappuccini S. Paterniano,Frati minori cappuccini Convento S. Paterniano di Fano,"[43.8414686, 13.0202814]",Piazzale Sansovino 2,Enti ecclesiastici,Specializzata,,False
11736,IT-PU0025,Biblioteca comunale Donato Bramante,Comune di Fermignano,"[43.6777948, 12.6444048]","Viale Martiri della Libertà, 20",Comune,Pubblica,,False
11737,IT-PU0026,Biblioteca conventuale dei cappuccini del Santuario beato Benedetto Passionei,Frati minori cappuccini Convento del Santuario beato Benedetto Passionei di Fossombrone,"[43.6793181, 12.8078828]",Via S. Antonio 78,Enti ecclesiastici,Specializzata,,False
11738,IT-PU0027,Biblioteca civica Benedetto Passionei,Comune di Fossombrone,"[43.6870301, 12.8104568]",Via F. M. Torricelli 2/4,Comune,Importante non specializzata,,False
11739,IT-PU0028,Biblioteca comunale,Comune di Fratte Rosa,"[43.6321379, 12.901338]",Via Roma 2,Comune,Pubblica,,False
11740,IT-PU0029,Biblioteca comunale Conti della Porta,Comune di Frontone,"[43.5143879, 12.7385879999999]",Piazza del Municipio 19,Comune,Pubblica,,False
11741,IT-PU0033,Biblioteca comunale Angela Lazzarini,Comune di Macerata Feltria,"[43.8027338, 12.4423105]",Via Antimi 14,Comune,Pubblica,,False
11742,IT-PU0035,Biblioteca comunale,,"[43.7971397, 12.8550508]",Piazza Barocci 7,Comune,Pubblica,,False
11743,IT-PU0037,Biblioteca comunale storica,Comune di Mondavio,"[43.6426717, 12.9470951]",Piazza Matteotti 1,Comune,Importante non specializzata,,True
11744,IT-PU0038,Biblioteca comunale Sebastiano Dominici,Comune di Mondavio,"[43.6085371, 12.9767719]",Via XXIV maggio 10/12,Comune,Pubblica,,False
11745,IT-PU0039,Biblioteca comunale,,"[43.7525518, 13.0961814]",Corso della Libertà 34,Comune,Pubblica,,False
11746,IT-PU0041,Biblioteca comunale,,"[43.698163, 13.05861]",Via IV Novembre,NON SPECIFICATA,NON SPECIFICATA,,
11747,IT-PU0042,Biblioteca del Centro sociale di educazione permanente,,"[43.7849191, 12.7110024]","Via Liberazione, 11",NON SPECIFICATA,NON SPECIFICATA,,
11748,IT-PU0045,Biblioteca comunale,Comune di Montefelcino,"[43.734955, 12.833475]","Via Francesca da Rimini, 1",Comune,Pubblica,,False
11749,IT-PU0046,Biblioteca comunale,,"[43.8483053, 12.7884313]",Via Marconi 32,Comune,Pubblica,,False
11750,IT-PU0049,Biblioteca capitolare,Capitolo della cattedrale di Pennabilli,"[43.8178124, 12.2663313]",Via Roma,Enti ecclesiastici,Specializzata,,True
11751,IT-PU0054,Biblioteca del Seminario Feretrano,Seminario vescovile di Pennabilli,"[43.8166471, 12.2635371]",Via Seminario,Enti ecclesiastici,Specializzata,,True
11752,IT-PU0056,Biblioteca vescovile,Curia vescovile di Pennabilli,"[43.8172468, 12.2637688]",Via Vigna,Enti ecclesiastici,Specializzata,,True
11753,IT-PU0058,Biblioteca Guazzugli Marini,Ente morale Guazzugli Marini,"[43.5627832, 12.836294]",Corso Matteotti 38,"Accademie, associazioni, fondazioni, istituti, societa' (privati)",Pubblica,,False
11754,IT-PU0059,Biblioteca comunale Bruto Enrico Giuppi,Comune di Pergola,"[43.5642526, 12.8346344]",Piazza G. Garibaldi 16,Comune,Pubblica,,False
11755,IT-PU0061,Biblioteca Oliveriana,Fondazione Ente Olivieri,"[43.9098401, 12.909504]",Via Mazza 97,"Accademie, associazioni, fondazioni, istituti (pubblici)",Importante non specializzata,,False
11756,IT-PU0062,"Biblioteca della Camera di commercio, industria, artigianato e agricoltura - CCIAA","Camera di commercio, industria, artigianato e agricoltura - CCIAA di Pesaro e Urbino","[43.9111965, 12.9114703]",Via Castelfidardo 3,"Camere di commercio, industria, artigianato",Specializzata,,True
11757,IT-PU0063,Biblioteca dell'Associazione degli industriali,,"[43.8775312, 12.8744945]","Piazza Lazzarini, galleria, scala D",NON SPECIFICATA,NON SPECIFICATA,,
11758,IT-PU0065,Biblioteca dell'Accademia agraria,Accademia agraria di Pesaro,"[43.9110427, 12.9114513]",Via Mazza 9,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11759,IT-PU0067,Biblioteca musicale del Conservatorio Gioacchino Rossini,"Ministero dell'istruzione, dell'università e della ricerca. Conservatorio Gioacchino Rossini","[43.909169, 12.9101551]",Piazza Olivieri 6,Presidenza del consiglio dei ministri e ministeri,Specializzata,,False
11760,IT-PU0069,Biblioteca comunale,Comune di Piagge,"[43.732295, 12.967795]",Via Montegrappa,Comune,Pubblica,,False
11761,IT-PU0072,Biblioteca comunale Ubaldiana,Comune di Piandimeleto,"[43.7249105, 12.4123527]",Via Dante Alighieri 15,Comune,Importante non specializzata,,False
11762,IT-PU0073,Biblioteca del Convento dei cappuccini,Frati minori cappuccini Convento di Pietrarubbia,"[43.8042646, 12.3769522]",Ponte cappuccini,Enti ecclesiastici,Specializzata,,True
11763,IT-PU0075,Biblioteca comunale Vagnarelli,Comune di Piobbico,"[43.5879445, 12.5098016]",Viale dei Caduti,Comune,Pubblica,,False
11764,IT-PU0076,Biblioteca comunale,Comune di San Costanzo,"[43.7625235, 13.0684824]",Piazzale della Vittoria 8,Comune,Pubblica,,False
11765,IT-PU0079,Biblioteca capitolare,Capitolo della cattedrale di Sant'Angelo in Vado,"[43.664979, 12.412611]",Via XX Settembre 4,Enti ecclesiastici,Pubblica,,False
11766,IT-PU0080,Biblioteca della Fondazione Maria Storti,,"[43.6544162, 12.4265952]",Municipio,NON SPECIFICATA,NON SPECIFICATA,,
11767,IT-PU0082,Biblioteca comunale Vincenzo Lanciarini,Comune di Sant'Angelo in Vado,"[43.6646676, 12.4128026]",Piazza Umberto I,Comune,Pubblica,,False
11768,IT-PU0083,Biblioteca comunale,Comune di Sant'Ippolito,"[0.0, 0.0]",Viale Giacomo Leopardi,Comune,Pubblica,,False
11769,IT-PU0085,Biblioteca comunale e centro culturale Laura Battiferri,Comune di Sassocorvaro,"[43.7814143, 12.4952076]","Via Crescentini, 7",Comune,Pubblica,,False
11770,IT-PU0086,Biblioteca del venerabile Eremo di Fonte Avellana,Congregazione Monaci Camaldolesi OSB,"[43.5127995, 12.7274952]",Via di Fonte Avellana 8,Enti ecclesiastici,Specializzata,False,False
11771,IT-PU0089,Biblioteca comunale,Comune di Talamello,"[43.905085, 12.285735]",Piazza Garibaldi,Comune,Pubblica,,False
11772,IT-PU0090,Biblioteca comunale,Comune di Tavoleto,"[43.844003, 12.593542]",Via IV Novembre,Comune,Pubblica,,False
11773,IT-PU0095,Biblioteca comunale,Comune di Urbania,"[43.6681372, 12.5232055]","Corso Vittorio Emanuele II, 23",Comune,Importante non specializzata,,False
11774,IT-PU0096,Biblioteca Seminario vescovile Barberini,,"[43.6690881, 12.5233248]",Via Ugolini 26,NON SPECIFICATA,NON SPECIFICATA,,
11775,IT-PU0097,Biblioteca capitolare,,"[43.6678, 12.52457]",Via Urbano VIII - Vescovado,NON SPECIFICATA,NON SPECIFICATA,,
11776,IT-PU0100,Biblioteca dell'Accademia Raffaello,Accademia Raffaello,"[43.7275681, 12.6374929]",Via Cesare Battisti 54,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11777,IT-PU0102,Biblioteca comunale G. Anselmi,Comune di Cantiano,"[43.4764227, 12.6293020000001]",Piazzale Giosuè Carducci 2,Comune,Pubblica,,False
11778,IT-PU0104,Biblioteca comunale,Comune di Auditore,"[43.8431157, 12.5919909]",Via Gramsci 7,Comune,Pubblica,,False
11779,IT-PU0105,Biblioteca circolante S. Francesco,Ordine francescano secolare,"[43.8414686, 13.0202814]",Piazzale Sansovino 2,Enti ecclesiastici,Pubblica,,False
11780,IT-PU0106,Biblioteca comunale popolare,Comune di Frontino,"[43.764485, 12.37638]",Via Giovanni XXIII,Comune,Pubblica,,False
11781,IT-PU0108,Biblioteca del Centro sociale di educazione permanente,,"[43.730575, 12.4412264]",Piazza della Libertà,NON SPECIFICATA,NON SPECIFICATA,,
11782,IT-PU0109,Biblioteca comunale,Comune di Monte Cerignone,"[43.8398229, 12.413001]","Via Uguccione, 14",Comune,Pubblica,,False
11783,IT-PU0110,Biblioteca della Fondazione Gioacchino Rossini,Fondazione Gioacchino Rossini,"[43.9087506, 12.9080235]",Via G.B. Passeri 72,"Accademie, associazioni, fondazioni, istituti (pubblici)",Specializzata,,False
11784,IT-PU0111,Biblioteca comunale,Comune di Colli al Metauro,"[43.7518430528905, 12.9178770325409]","Via Marconi, 1",Comune,Pubblica,,False
11785,IT-PU0117,Biblioteca comunale della circoscrizione Pantano,Comune di Pesaro,"[43.9024123, 12.9054917]",Via Confalonieri 11,Comune,Pubblica,,False
11786,IT-PU0118,Biblioteca comunale Cinque Torri,Comune di Pesaro,"[43.893454, 12.8979223]",Largo Volontari del sangue,Comune,Pubblica,,False
11787,IT-PU0120,Biblioteca comunale della circoscrizione Villa Fastiggi,Comune di Pesaro,"[43.8832973, 12.8680009]",Via della Concordia,Comune,Pubblica,,False
11788,IT-PU0121,Biblioteca comunale della circoscrizione S. M. Fabrecce,,"[43.9135359, 12.8659397]",Via Basento,NON SPECIFICATA,NON SPECIFICATA,,
11789,IT-PU0122,Biblioteca comunale della circoscrizione Borgo Santa Maria,Comune di Pesaro,"[43.8744291, 12.8019362]",Via Lancisi 1,Comune,Pubblica,,False
11790,IT-PU0123,Polo Culturale-Biblioteca Mutlimediale “Adriano Cardini”,Comune di San Lorenzo in Campo,"[43.601396, 12.9448384]",Largo Luigi Speranzini,Comune,Pubblica,,False
11791,IT-PU0124,Biblioteca comunale,Comune di Sant'Agata Feltria,"[43.8641801, 12.2083527]","Piazza Garibaldi, 12",Comune,NON SPECIFICATA,,
11792,IT-PU0125,Biblioteca comunale Ferruccio Parri,Comune di Sant'Angelo in Lizzola,"[43.857746, 12.7671542]",Via Mazzini 11,Comune,Pubblica,,False
11793,IT-PU0126,Biblioteca centrale dell'Università degli studi di Urbino,Università degli studi di Urbino,"[43.722912, 12.636658]",Via A. Saffi 2,Universita' non statali,Istituto di insegnamento superiore,,False
11794,IT-PU0127,Biblioteca delle facoltà di Giurisprudenza e Scienze politiche dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di giurisprudenza e Facoltà di scienze politiche,"[0.0, 0.0]",Via Matteotti 1,Universita' non statali,Istituto di insegnamento superiore,,False
11795,IT-PU0128,Biblioteca dell'Istituto di comunicazione e spettacolo della Facoltà di sociologia dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di sociologia. Istituto di comunicazione e spettacolo,"[43.7220477, 12.6366164]",Via A. Saffi 15,Universita' non statali,Istituto di insegnamento superiore,,False
11796,IT-PU0129,Biblioteca dell'Istituto di archeologia e storia dell'arte antica della Facoltà di lettere e filosofia dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di lettere e filosofia. Istituto  di archeologia e storia dell'arte antica,"[43.727244, 12.6358125]",Via del Balestriere 2,Universita' non statali,Istituto di insegnamento superiore,,False
11797,IT-PU0130,"Biblioteca dell'Istituto di biomatematica delle facoltà di Scienze matematiche, fisiche e naturali e di Farmacia dell'Università degli studi di Urbino","Università degli studi di Urbino. Facoltà di scienze matematiche, fisiche e naturali e Facoltà di farmacia. Istituto di biomatematica","[43.7529263, 12.644587]",,Universita' non statali,Istituto di insegnamento superiore,,False
11798,IT-PU0131,Biblioteca dell'Istituto di civiltà antiche della Facoltà di lettere e filosofia dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di lettere e filosofia. Istituto di civiltà antiche,"[43.7245917, 12.6382834]",Via Veterani 36,Universita' non statali,Istituto di insegnamento superiore,,False
11799,IT-PU0132,Biblioteca dell'Istituto di filologia classica della Facoltà di lettere e filosofia dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di lettere e filosofia. Istituto di filologia classica,"[43.7277193, 12.6369522]",Via S. Andrea 34,Universita' non statali,Istituto di insegnamento superiore,,False
11800,IT-PU0133,Biblioteca dell'Istituto di filologia moderna della Facoltà di lettere e filosofia dell'Università degli studi di Urbino,Università degli studi di Urbino. Facoltà di lettere e filosofia. Istituto di filologia moderna,"[43.7245917, 12.6382834]",Via Veterani 36,Universita' non statali,Istituto di insegnamento superiore,,False
